RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	1	258	100
1	258	262	200
1	262	262	300
2	262	268	512
1	268	268	612
2	268	268	824
3	268	278	1156
1	268	268	100
2	268	268	300
3	268	275	600
1	275	275	700
2	275	275	900
3	275	278	1200
1	278	278	1300
2	278	278	1500
3	278	277	1800
4	278	290	2200
1	290	310	2300
1	310	310	2400
2	310	310	2600
3	310	313	2900
1	313	313	3000
2	313	314	3200
1	314	314	3300
2	314	314	3500
3	314	314	3800
4	314	313	4200
5	314	301	4700
6	314	290	5300
7	314	321	6000
1	321	321	6100
2	321	321	6300
3	321	332	6600
1	332	334	6700
1	334	334	6800
2	334	336	7000
1	336	336	7100
2	336	334	7300
3	336	338	7600
1	338	339	7700
1	339	339	7800
2	339	338	8000
3	339	335	8300
4	339	330	8700
5	339	337	9200
6	339	322	9800
7	339	333	10500
8	339	317	11300
9	339	351	12200
1	351	351	12300
2	351	351	12500
3	351	351	12800
4	351	354	13200
1	354	354	13300
2	354	354	13500
3	354	353	13800
4	354	351	14200
5	354	347	14700
6	354	356	15300
1	356	357	15400
1	357	357	15500
2	357	361	15700
1	361	361	15800
2	361	361	16000
3	361	374	16300
1	374	374	16400
2	374	375	16600
1	375	375	16700
2	375	377	16900
1	377	378	17000
1	378	377	17100
2	378	375	17300
3	378	374	17600
4	378	372	18000
5	378	391	18500
1	391	418	18600
1	418	418	18700
2	418	418	18900
3	418	421	19200
1	421	421	19300
2	421	421	19500
3	421	428	19800
1	428	435	19900
1	435	435	20000
2	435	435	20200
3	435	437	20500
1	437	438	20600
1	438	438	20700
2	438	452	20900
1	452	452	21000
2	452	452	21200
3	452	435	21500
4	452	437	21900
5	452	430	22400
6	452	426	23000
7	452	408	23700
8	452	385	24500
1	385	385	24600
2	385	385	24800
3	385	385	25100
4	385	385	25500
5	385	387	26000
1	387	387	26100
2	387	414	26300
1	414	414	26400
2	414	417	26600
1	417	417	26700
2	417	417	26900
3	417	417	27200
4	417	410	27600
5	417	423	28100
1	423	427	28200
1	427	427	28300
2	427	430	28500
1	430	430	28600
2	430	430	28800
3	430	433	29100
1	433	433	29200
2	433	433	29400
3	433	433	29700
4	433	437	30100
1	437	437	30200
2	437	437	30400
3	437	434	30700
4	437	433	31100
5	437	427	31600
6	437	419	32200
7	437	415	32900
8	437	375	33700
1	375	378	33800
1	378	378	33900
2	378	378	34100
3	378	377	34400
4	378	385	34800
1	385	385	34900
2	385	385	35100
3	385	419	35400
1	419	420	35500
1	420	420	35600
2	420	420	35800
3	420	423	36100
1	423	425	36200
1	425	425	36300
2	425	427	36500
1	427	427	36600
2	427	427	36800
3	427	425	37100
4	427	422	37500
5	427	428	38000
1	428	454	38100
1	454	454	38200
2	454	454	38400
3	454	454	38700
4	454	448	39100
5	454	449	39600
6	454	424	40200
7	454	432	40900
8	454	413	41700
9	454	381	42600
1	381	418	42700
1	418	418	42800
2	418	424	43000
1	424	424	43100
2	424	427	43300
1	427	428	43400
1	428	428	43500
2	428	427	43700
3	428	424	44000
4	428	421	44400
5	428	424	44900
6	428	421	45500
7	428	422	46200
8	428	376	47000
9	428	370	47900
10	428	368	48900
1	368	369	49000
1	369	369	49100
2	369	439	49300
1	439	439	49400
2	439	439	49600
3	439	467	49900
1	467	468	50000
1	468	468	50100
2	468	468	50300
3	468	471	50600
1	471	471	50700
2	471	471	50900
3	471	471	51200
4	471	478	51600
1	478	481	51700
1	481	481	51800
2	481	481	52000
3	481	481	52300
4	481	507	52700
1	507	539	52800
1	539	541	52900
1	541	541	53000
2	541	541	53200
3	541	537	53500
4	541	536	53900
5	541	536	54400
6	541	529	55000
7	541	487	55700
8	541	475	56500
1	475	475	56600
2	475	475	56800
3	475	475	57100
4	475	482	57500
1	482	482	57600
2	482	482	57800
3	482	475	58100
4	482	478	58500
5	482	476	59000
6	482	469	59600
7	482	442	60300
8	482	467	61100
9	482	444	62000
10	482	466	63000
11	482	420	64100
1	420	420	64200
2	420	475	64400
1	475	475	64500
2	475	475	64700
3	475	475	65000
4	475	475	65400
5	475	470	65900
6	475	472	66500
7	475	465	67200
8	475	431	68000
9	475	476	68900
1	476	476	69000
2	476	489	69200
1	489	489	69300
2	489	489	69500
3	489	493	69800
1	493	493	69900
2	493	493	70100
3	493	492	70400
4	493	499	70800
1	499	500	70900
1	500	500	71000
2	500	500	71200
3	500	502	71500
1	502	502	71600
2	502	503	71800
1	503	503	71900
2	503	503	72100
3	503	499	72400
4	503	502	72800
5	503	502	73300
6	503	501	73900
7	503	498	74600
8	503	483	75400
9	503	481	76300
10	503	473	77300
11	503	441	78400
1	441	459	78500
1	459	461	78600
1	461	461	78700
2	461	461	78900
3	461	467	79200
1	467	467	79300
2	467	472	79500
1	472	472	79600
2	472	473	79800
1	473	473	79900
2	473	473	80100
3	473	472	80400
4	473	474	80800
1	474	474	80900
2	474	474	81100
3	474	483	81400
1	483	485	81500
1	485	485	81600
2	485	483	81800
3	485	485	82100
4	485	485	82500
5	485	476	83000
6	485	488	83600
1	488	494	83700
1	494	494	83800
2	494	495	84000
1	495	495	84100
2	495	495	84300
3	495	495	84600
4	495	494	85000
5	495	498	85500
1	498	498	85600
2	498	498	85800
3	498	497	86100
4	498	496	86500
5	498	494	87000
6	498	494	87600
7	498	489	88300
8	498	496	89100
9	498	482	90000
10	498	496	91000
11	498	437	92100
1	437	479	92200
1	479	479	92300
2	479	479	92500
3	479	480	92800
1	480	480	92900
2	480	480	93100
3	480	480	93400
4	480	484	93800
1	484	485	93900
1	485	485	94000
2	485	487	94200
1	487	487	94300
2	487	487	94500
3	487	487	94800
4	487	489	95200
1	489	489	95300
2	489	490	95500
1	490	490	95600
2	490	490	95800
3	490	492	96100
1	492	493	96200
1	493	493	96300
2	493	490	96500
3	493	494	96800
1	494	494	96900
2	494	493	97100
3	494	492	97400
4	494	492	97800
