Time	Games	Longest Sequence
3.348288059234619	200	222
7.840209007263184	400	232
12.910433053970337	600	232
19.260205030441284	1058	239
22.69643998146057	1258	239
27.69330406188965	1716	239
34.41000199317932	2462	239
46.05609917640686	3516	247
50.24141216278076	3716	249
54.27988314628601	3916	249
59.24784517288208	4374	251
62.03788495063782	4574	251
67.81009316444397	5032	251
74.08656096458435	5778	252
76.74218010902405	5978	252
81.09705114364624	6436	252
87.25155901908875	7182	252
96.83699202537537	8236	252
111.20374917984009	9614	252
129.32197308540344	11330	252
151.43620610237122	13396	252
177.928307056427	15820	261
181.3063530921936	16020	267
184.33297896385193	16220	267
191.05926609039307	16678	281
194.34530997276306	16878	281
200.1103491783142	17336	281
208.22600507736206	18082	284
211.6274631023407	18282	284
217.7542061805725	18740	284
225.72033095359802	19486	285
228.62883806228638	19686	286
231.7513289451599	19886	287
234.67153310775757	20086	287
239.424889087677	20544	287
246.61837697029114	21290	287
257.1306071281433	22344	287
272.9155011177063	23722	287
301.083477973938	25438	287
323.61062598228455	27504	302
326.4983470439911	27704	306
329.1760630607605	27904	306
333.8186490535736	28362	308
336.76877617836	28562	308
341.61779713630676	29020	308
347.7162320613861	29766	310
350.57105708122253	29966	310
355.40510416030884	30424	310
361.74464416503906	31170	310
371.2319829463959	32224	317
374.012403011322	32424	319
376.9999041557312	32624	319
381.6534581184387	33082	326
384.6914460659027	33282	326
389.4328360557556	33740	326
396.78964400291443	34486	326
405.971116065979	35540	326
416.57473516464233	36918	326
434.72815012931824	38634	326
459.2134130001068	40700	347
462.72995710372925	40900	366
466.34629917144775	41100	366
471.6747500896454	41558	366
479.49836897850037	42304	366
486.8037929534912	43358	371
489.99310398101807	43558	372
493.0985281467438	43758	372
498.28635001182556	44216	372
505.76115107536316	44962	372
515.4966261386871	46016	375
518.5552289485931	46216	375
523.9499039649963	46674	375
532.3767621517181	47420	375
545.1804709434509	48474	380
548.5626420974731	48674	387
551.5519640445709	48874	390
553.9878010749817	49074	390
558.921816110611	49532	390
566.9683191776276	50278	399
569.9232020378113	50478	399
574.8006200790405	50936	399
582.0830521583557	51682	400
584.9871909618378	51882	400
589.4055421352386	52340	400
596.9538390636444	53086	400
606.6903071403503	54140	400
620.9976539611816	55518	400
631.4681711196899	57234	400
643.7446370124817	59300	400
657.2156319618225	61724	400
678.4087510108948	64516	400
704.468367099762	67684	405
707.462452173233	67884	424
709.9958419799805	68084	425
712.7803151607513	68284	425
716.9503519535065	68742	425
725.2069511413574	69488	425
739.7101471424103	70542	440
742.9996211528778	70742	440
748.4428250789642	71200	440
755.5961241722107	71946	440
766.8529231548309	73000	440
784.7521891593933	74378	442
787.4197211265564	74578	442
792.3897869586945	75036	442
800.9072279930115	75782	442
812.8010771274567	76836	442
828.1081731319427	78214	442
851.2142519950867	79930	447
854.1103971004486	80130	451
856.9026091098785	80330	452
859.5894870758057	80530	452
864.8433110713959	80988	452
873.3944671154022	81734	452
886.811084985733	82788	454
890.1660759449005	82988	454
895.0334191322327	83446	455
898.3409550189972	83646	455
902.9636390209198	84104	455
912.322193145752	84850	455
924.3580451011658	85904	455
941.3569240570068	87282	455
965.9950430393219	88998	455
995.6552729606628	91064	455
1035.2702841758728	93488	455
1073.371943950653	96280	455
1097.0021681785583	99448	455
1118.5434441566467	103000	455
1137.0288350582123	106944	455
1151.8819661140442	111286	361
1154.862977027893	111486	389
1157.948030948639	111686	403
1160.5953061580658	111886	406
1163.4525871276855	112086	406
1167.2407360076904	112544	406
1173.1345191001892	113290	406
1180.5363509654999	114344	406
1191.6527070999146	115722	408
1195.0605051517487	115922	408
1200.6748151779175	116380	408
1208.7581059932709	117126	410
1212.5863480567932	117326	410
1219.072643995285	117784	410
1226.4081890583038	118530	410
1236.8458931446075	119584	410
1249.838742017746	120962	410
1264.7865841388702	122678	410
1279.6552979946136	124744	410
1296.9700169563293	127168	410
1310.7917821407318	129960	410
1323.1134099960327	133128	315
1326.2171831130981	133328	317
1329.6108400821686	133528	317
1334.6721119880676	133986	317
1340.6500101089478	134732	317
1347.6647679805756	135786	317
1360.1006650924683	137164	344
1363.326632976532	137364	359
1366.5539231300354	137564	359
1370.9087879657745	138022	359
1379.6035690307617	138768	366
1382.5982019901276	138968	368
1385.4110040664673	139168	368
1389.619462966919	139626	368
1397.1406950950623	140372	368
1407.9057309627533	141426	368
1420.365028142929	142804	369
1423.6928951740265	143004	372
1426.9161050319672	143204	372
1432.4389200210571	143662	372
1439.1896560192108	144408	375
1442.5577840805054	144608	376
1445.408024072647	144808	376
1450.5197660923004	145266	376
1457.3565480709076	146012	376
1467.5944900512695	147066	379
1470.8601989746094	147266	381
1474.011705160141	147466	381
1479.2616710662842	147924	381
1487.976623058319	148670	384
1491.0818519592285	148870	384
1496.3407499790192	149328	384
1505.3213770389557	150074	384
1514.3155591487885	151128	384
1526.6865711212158	152506	387
1529.6235189437866	152706	387
1534.283972978592	153164	387
1542.8991119861603	153910	387
1549.9234261512756	154964	387
1563.3223330974579	156342	387
1580.5276181697845	158058	387
1597.109657049179	160124	387
1618.471202135086	162548	387
1647.8046259880066	165340	387
1672.8557970523834	168508	387
1710.7856130599976	172060	387
1730.1776161193848	176004	387
1755.5978350639343	180346	387
1799.9665231704712	185092	289
1802.87206697464	185292	299
1805.5273180007935	185492	299
1810.816950082779	185950	310
1813.7468121051788	186150	310
1818.0402040481567	186608	310
1826.0482461452484	187354	313
1829.4408700466156	187554	315
1832.6412479877472	187754	315
1839.2133531570435	188212	315
1846.713977098465	188958	315
1854.8944001197815	190012	364
1857.130653142929	190212	368
1859.453113079071	190412	368
1863.4572429656982	190870	368
1868.647978067398	191616	368
1877.1347570419312	192670	368
1885.3586781024933	194048	374
1887.8096771240234	194248	377
1890.0686991214752	194448	377
1896.5394599437714	194906	377
1904.984544992447	195652	396
1907.506744146347	195852	396
1910.7005441188812	196310	396
1916.339828968048	197056	396
1926.9252109527588	198110	396
1938.985475063324	199488	399
1941.850711107254	199688	403
1944.6101269721985	199888	403
1948.7779531478882	200346	403
1954.5988841056824	201092	404
1957.3121399879456	201292	404
1961.6415979862213	201750	404
1966.49054813385	202496	404
1973.3521180152893	203550	404
1984.7654190063477	204928	404
1992.3616299629211	206644	404
2006.8548390865326	208710	404
2021.1569819450378	211134	404
2037.7649080753326	213926	404
2056.1071951389313	217094	404
2082.8191981315613	220646	404
2104.368885040283	224590	404
2114.388456106186	228932	317
2117.436357021332	229132	341
2120.429146051407	229332	345
2123.066195011139	229532	347
2125.598629951477	229732	347
2129.7084510326385	230190	347
2135.615206003189	230936	347
2145.521737098694	231990	360
2148.4176490306854	232190	362
2151.2127051353455	232390	362
2176.489732980728	232848	362
2173.485126018524	233594	363
2176.106098175049	233794	363
2181.194540977478	234252	363
2189.5239069461823	234998	363
2199.003905057907	236052	363
2210.9225990772247	237430	363
2228.4487290382385	239146	363
2247.030459165573	241212	366
2249.709326982498	241412	369
2252.301130056381	241612	369
2256.931722164154	242070	369
2263.4279351234436	242816	369
2274.945249080658	243870	370
2277.7109479904175	244070	371
2280.4308581352234	244270	371
2285.0056879520416	244728	371
2292.3124091625214	245474	371
2303.8062431812286	246528	371
2318.086863040924	247906	371
2333.810286998749	249622	371
2353.111608982086	251688	387
2356.09356713295	251888	410
2358.6845331192017	252088	410
2362.545182943344	252546	410
2368.41131401062	253292	411
2371.0257651805878	253492	411
2374.4193761348724	253950	411
2380.3186089992523	254696	411
2386.4179251194	255750	411
2394.369924068451	257128	411
2401.959156036377	258844	411
2410.4564530849457	260910	411
2422.9599771499634	263334	411
2441.817971944809	266126	411
2467.909823179245	269294	411
2488.5358510017395	272846	411
2500.9014880657196	276790	335
2503.6277329921722	276990	343
2505.7929661273956	277190	343
2510.0832619667053	277648	343
2516.6857571601868	278394	351
2519.154517173767	278594	351
2523.2476119995117	279052	351
2529.708549976349	279798	351
2538.927351951599	280852	355
2541.3680090904236	281052	355
2545.13139796257	281510	355
2552.0275530815125	282256	355
2562.222583055496	283310	367
2565.016340970993	283510	372
2567.4207429885864	283710	372
2571.6270849704742	284168	372
2579.179501056671	284914	372
2588.652673959732	285968	375
2590.763235092163	286168	375
2595.0146510601044	286626	375
2599.825674057007	287372	375
