1919	93	[0, 0, 2, 1, 4, 3, 2, 2, 4, 9, 6, 1, 1, 3, 4, 13, 14, 4, 6, 2, 20, 12, 5, 9, 23, 5, 10, 18, 16, 1, 0, 6, 9, 4, 31, 11, 24, 35, 8, 15, 36, 23, 1, 7, 35, 44, 22, 39, 11, 26, 0, 25, 26, 0, 7, 27, 14, 51, 17, 45, 50, 8, 46, 15, 5, 10, 30, 55, 13, 65, 47, 31, 31, 38, 43, 29, 67, 71, 71, 32, 70, 18, 2, 36, 21, 69, 82, 7, 11, 68, 86, 5, 86]
3926	110	[0, 1, 0, 2, 3, 0, 2, 6, 0, 8, 4, 5, 1, 0, 14, 14, 3, 9, 8, 0, 19, 13, 0, 11, 5, 1, 14, 4, 16, 13, 4, 3, 7, 13, 28, 6, 4, 31, 8, 30, 24, 8, 6, 28, 37, 14, 27, 26, 7, 3, 41, 41, 2, 8, 42, 41, 35, 23, 42, 41, 41, 38, 17, 12, 46, 41, 51, 36, 38, 48, 50, 37, 35, 33, 45, 45, 28, 47, 12, 34, 41, 0, 24, 32, 32, 41, 34, 24, 34, 0, 63, 42, 59, 30, 56, 43, 48, 60, 67, 58, 48, 50, 61, 72, 38, 0, 64, 43, 7, 72]
5036	124	[0, 0, 1, 3, 1, 0, 0, 6, 2, 0, 5, 7, 1, 4, 4, 11, 9, 11, 3, 16, 2, 18, 14, 20, 15, 1, 7, 17, 5, 8, 26, 4, 5, 15, 6, 22, 32, 29, 21, 4, 5, 21, 21, 7, 40, 7, 10, 32, 5, 3, 32, 33, 42, 25, 2, 10, 22, 0, 46, 7, 37, 17, 51, 46, 49, 55, 15, 56, 57, 56, 51, 51, 60, 57, 38, 56, 4, 51, 47, 8, 23, 28, 46, 27, 57, 64, 53, 33, 57, 55, 57, 40, 61, 62, 55, 26, 58, 61, 61, 63, 62, 20, 10, 57, 40, 65, 62, 0, 57, 69, 61, 64, 67, 0, 53, 46, 65, 61, 48, 40, 54, 9, 50, 67]
5914	142	[0, 0, 1, 2, 0, 0, 6, 6, 6, 7, 3, 3, 1, 2, 11, 3, 2, 5, 12, 16, 2, 1, 13, 5, 7, 1, 20, 11, 17, 19, 22, 28, 18, 4, 4, 1, 17, 13, 24, 15, 34, 23, 4, 36, 25, 8, 15, 39, 45, 43, 45, 36, 13, 27, 39, 41, 39, 9, 11, 12, 11, 27, 56, 18, 56, 21, 2, 61, 54, 47, 48, 40, 25, 47, 46, 16, 36, 7, 0, 24, 54, 61, 69, 59, 9, 0, 0, 42, 58, 6, 68, 58, 15, 1, 42, 68, 69, 61, 69, 65, 49, 33, 77, 62, 74, 35, 52, 67, 76, 54, 76, 76, 46, 7, 56, 78, 56, 58, 78, 72, 79, 56, 59, 70, 81, 64, 83, 82, 85, 68, 62, 26, 39, 66, 50, 84, 93, 78, 82, 32, 84, 46]
9014	148	[0, 1, 1, 1, 0, 2, 1, 4, 7, 5, 6, 5, 3, 0, 13, 13, 1, 5, 12, 2, 10, 13, 19, 7, 6, 12, 0, 27, 27, 0, 11, 1, 31, 28, 14, 3, 36, 9, 30, 11, 2, 35, 4, 6, 6, 37, 3, 33, 8, 16, 0, 14, 41, 31, 20, 25, 10, 10, 20, 3, 59, 29, 55, 21, 20, 21, 2, 47, 60, 22, 63, 65, 65, 10, 69, 32, 36, 49, 58, 56, 18, 70, 76, 62, 5, 22, 2, 16, 15, 76, 82, 45, 76, 68, 81, 87, 66, 81, 87, 11, 86, 86, 84, 86, 75, 79, 83, 85, 83, 77, 75, 7, 72, 82, 70, 78, 80, 24, 64, 74, 75, 55, 73, 75, 60, 78, 83, 77, 82, 48, 73, 70, 81, 65, 76, 75, 79, 76, 81, 4, 79, 73, 75, 64, 66, 76, 50, 66]
9345	159	[0, 1, 0, 3, 3, 0, 2, 4, 7, 3, 3, 11, 1, 13, 8, 9, 7, 3, 13, 16, 19, 8, 15, 10, 16, 1, 13, 26, 4, 17, 28, 27, 2, 6, 33, 17, 7, 6, 30, 0, 2, 31, 27, 37, 41, 38, 20, 15, 18, 36, 25, 3, 11, 4, 3, 5, 24, 29, 0, 26, 1, 56, 1, 10, 5, 50, 58, 0, 5, 60, 30, 35, 16, 68, 11, 72, 53, 2, 53, 2, 22, 1, 63, 4, 7, 54, 78, 16, 46, 60, 21, 77, 39, 70, 69, 69, 22, 75, 24, 78, 3, 66, 67, 75, 75, 30, 28, 80, 30, 50, 72, 77, 86, 77, 68, 57, 43, 83, 38, 16, 76, 3, 46, 6, 24, 60, 73, 97, 84, 60, 56, 46, 18, 98, 31, 71, 18, 83, 3, 72, 73, 97, 87, 53, 69, 102, 90, 100, 93, 93, 98, 90, 92, 98, 73, 102, 82, 95, 95]
10489	167	[0, 0, 1, 0, 3, 3, 4, 6, 3, 7, 6, 11, 8, 2, 2, 5, 10, 2, 18, 9, 2, 4, 7, 9, 14, 25, 0, 14, 27, 13, 1, 5, 15, 15, 0, 20, 31, 3, 15, 37, 35, 1, 39, 4, 3, 39, 36, 0, 38, 5, 1, 30, 35, 41, 34, 36, 20, 28, 33, 20, 17, 21, 47, 19, 3, 29, 53, 28, 47, 52, 36, 49, 21, 55, 0, 25, 35, 36, 22, 55, 62, 47, 73, 17, 54, 16, 77, 19, 16, 60, 36, 72, 47, 6, 76, 86, 12, 65, 60, 62, 11, 44, 88, 50, 32, 19, 61, 9, 87, 68, 3, 86, 87, 87, 86, 88, 91, 96, 38, 86, 90, 97, 61, 88, 95, 86, 86, 96, 80, 64, 100, 78, 85, 98, 93, 96, 101, 1, 98, 96, 67, 95, 87, 83, 68, 71, 69, 85, 91, 89, 84, 89, 88, 87, 85, 91, 46, 44, 93, 89, 56, 84, 50, 81, 93, 99, 36]
15852	200	[0, 0, 0, 0, 2, 3, 2, 2, 1, 1, 10, 7, 5, 9, 0, 2, 13, 9, 11, 13, 16, 10, 9, 18, 17, 15, 20, 2, 13, 12, 21, 4, 22, 11, 11, 24, 0, 21, 6, 30, 0, 16, 7, 22, 8, 21, 37, 37, 23, 32, 40, 18, 5, 6, 3, 21, 43, 14, 20, 29, 10, 17, 47, 0, 51, 56, 25, 43, 29, 48, 23, 60, 21, 28, 18, 1, 28, 66, 4, 49, 4, 38, 67, 51, 14, 74, 72, 63, 1, 23, 73, 76, 63, 77, 11, 73, 57, 80, 41, 74, 72, 15, 72, 68, 62, 72, 82, 72, 64, 1, 78, 65, 79, 80, 87, 2, 76, 85, 72, 83, 87, 57, 77, 68, 71, 49, 83, 74, 79, 75, 78, 1, 73, 77, 73, 68, 71, 71, 73, 74, 64, 62, 79, 80, 53, 23, 48, 2, 60, 69, 48, 20, 50, 83, 78, 24, 73, 13, 71, 73, 69, 5, 83, 89, 93, 4, 58, 47, 82, 90, 41, 37, 59, 51, 90, 59, 87, 74, 83, 85, 91, 89, 28, 83, 75, 81, 90, 71, 96, 77, 71, 98, 100, 75, 73, 96, 102, 81, 96, 21]
19164	202	[0, 1, 0, 3, 0, 4, 4, 3, 6, 8, 5, 2, 0, 5, 10, 14, 8, 1, 14, 12, 14, 2, 2, 0, 3, 3, 21, 20, 18, 20, 8, 14, 8, 23, 6, 7, 13, 11, 23, 6, 10, 0, 18, 8, 30, 1, 24, 34, 38, 25, 31, 7, 11, 13, 41, 28, 47, 28, 21, 40, 19, 3, 37, 6, 34, 17, 1, 39, 38, 25, 55, 0, 53, 19, 34, 3, 55, 23, 2, 49, 59, 4, 71, 44, 71, 72, 1, 50, 72, 74, 75, 71, 76, 81, 1, 66, 82, 60, 76, 4, 82, 83, 84, 75, 83, 82, 72, 19, 81, 73, 72, 72, 74, 68, 77, 70, 70, 53, 93, 82, 82, 80, 93, 62, 86, 89, 90, 75, 91, 69, 95, 103, 75, 90, 96, 95, 105, 94, 107, 95, 58, 77, 71, 4, 110, 110, 92, 107, 88, 100, 103, 101, 107, 105, 103, 107, 101, 42, 105, 82, 102, 97, 106, 106, 95, 104, 107, 97, 101, 73, 99, 94, 94, 66, 88, 78, 92, 64, 75, 91, 66, 75, 86, 95, 93, 80, 92, 78, 77, 73, 83, 86, 90, 91, 91, 59, 93, 93, 84, 50, 91, 72]
18347	212	[0, 1, 2, 3, 0, 3, 6, 4, 0, 1, 8, 0, 5, 0, 2, 12, 11, 10, 13, 15, 2, 20, 20, 2, 5, 25, 3, 21, 14, 14, 10, 9, 0, 9, 10, 5, 34, 13, 1, 37, 9, 32, 39, 38, 1, 1, 10, 39, 46, 41, 35, 44, 31, 38, 1, 39, 2, 35, 14, 11, 51, 15, 14, 0, 52, 54, 49, 15, 48, 60, 59, 60, 27, 59, 59, 47, 60, 6, 3, 6, 54, 53, 67, 49, 43, 61, 2, 68, 13, 61, 62, 42, 10, 77, 70, 56, 69, 43, 40, 58, 77, 62, 54, 83, 7, 82, 49, 66, 66, 45, 92, 10, 86, 54, 52, 39, 41, 64, 91, 55, 91, 98, 94, 59, 97, 98, 102, 87, 103, 46, 96, 88, 105, 49, 98, 84, 90, 98, 98, 104, 84, 103, 106, 97, 101, 106, 107, 107, 99, 106, 107, 90, 108, 105, 111, 107, 103, 36, 99, 73, 87, 81, 83, 68, 81, 62, 81, 62, 67, 65, 78, 53, 67, 75, 75, 75, 53, 59, 43, 65, 72, 52, 76, 78, 52, 52, 61, 83, 83, 37, 57, 86, 78, 53, 88, 78, 86, 83, 51, 74, 69, 37, 77, 51, 90, 78, 94, 99, 88, 4, 100, 79]
