RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	1	222	200
1	222	232	400
1	232	232	600
2	232	239	1058
1	239	239	1258
2	239	239	1716
3	239	239	2462
4	239	247	3516
1	247	249	3716
1	249	249	3916
2	249	251	4374
1	251	251	4574
2	251	251	5032
3	251	252	5778
1	252	252	5978
2	252	252	6436
3	252	252	7182
4	252	252	8236
5	252	246	9614
6	252	245	11330
7	252	240	13396
8	252	261	15820
1	261	267	16020
1	267	267	16220
2	267	281	16678
1	281	281	16878
2	281	281	17336
3	281	284	18082
1	284	284	18282
2	284	284	18740
3	284	285	19486
1	285	286	19686
1	286	287	19886
1	287	287	20086
2	287	287	20544
3	287	281	21290
4	287	280	22344
5	287	281	23722
6	287	287	25438
7	287	302	27504
1	302	306	27704
1	306	306	27904
2	306	308	28362
1	308	308	28562
2	308	308	29020
3	308	310	29766
1	310	310	29966
2	310	310	30424
3	310	310	31170
4	310	317	32224
1	317	319	32424
1	319	319	32624
2	319	326	33082
1	326	326	33282
2	326	326	33740
3	326	326	34486
4	326	326	35540
5	326	321	36918
6	326	325	38634
7	326	347	40700
1	347	366	40900
1	366	366	41100
2	366	366	41558
3	366	366	42304
4	366	371	43358
1	371	372	43558
1	372	372	43758
2	372	372	44216
3	372	372	44962
4	372	375	46016
1	375	375	46216
2	375	375	46674
3	375	375	47420
4	375	380	48474
1	380	387	48674
1	387	390	48874
1	390	390	49074
2	390	390	49532
3	390	399	50278
1	399	399	50478
2	399	399	50936
3	399	400	51682
1	400	400	51882
2	400	400	52340
3	400	400	53086
4	400	395	54140
5	400	390	55518
6	400	376	57234
7	400	376	59300
8	400	373	61724
9	400	368	64516
10	400	405	67684
1	405	424	67884
1	424	425	68084
1	425	425	68284
2	425	425	68742
3	425	425	69488
4	425	440	70542
1	440	440	70742
2	440	440	71200
3	440	440	71946
4	440	440	73000
5	440	442	74378
1	442	442	74578
2	442	442	75036
3	442	442	75782
4	442	442	76836
5	442	441	78214
6	442	447	79930
1	447	451	80130
1	451	452	80330
1	452	451	80530
2	452	452	80988
3	452	452	81734
4	452	454	82788
1	454	454	82988
2	454	455	83446
1	455	455	83646
2	455	455	84104
3	455	455	84850
4	455	455	85904
5	455	455	87282
6	455	450	88998
7	455	451	91064
8	455	444	93488
9	455	442	96280
10	455	417	99448
11	455	415	103000
12	455	405	106944
13	455	361	111286
1	361	389	111486
1	389	403	111686
1	403	406	111886
1	406	406	112086
2	406	405	112544
3	406	406	113290
4	406	399	114344
5	406	408	115722
1	408	408	115922
2	408	408	116380
3	408	410	117126
1	410	410	117326
2	410	410	117784
3	410	410	118530
4	410	409	119584
5	410	408	120962
6	410	404	122678
7	410	401	124744
8	410	397	127168
9	410	401	129960
10	410	315	133128
1	315	317	133328
1	317	317	133528
2	317	317	133986
3	317	317	134732
4	317	315	135786
5	317	344	137164
1	344	359	137364
1	359	359	137564
2	359	359	138022
3	359	366	138768
1	366	368	138968
1	368	368	139168
2	368	368	139626
3	368	367	140372
4	368	362	141426
5	368	369	142804
1	369	372	143004
1	372	372	143204
2	372	372	143662
3	372	375	144408
1	375	376	144608
1	376	376	144808
2	376	376	145266
3	376	375	146012
4	376	379	147066
1	379	381	147266
1	381	381	147466
2	381	381	147924
3	381	384	148670
1	384	384	148870
2	384	384	149328
3	384	384	150074
4	384	380	151128
5	384	387	152506
1	387	387	152706
2	387	387	153164
3	387	387	153910
4	387	384	154964
5	387	378	156342
6	387	372	158058
7	387	361	160124
8	387	367	162548
9	387	355	165340
10	387	371	168508
11	387	344	172060
12	387	339	176004
13	387	314	180346
14	387	289	185092
1	289	299	185292
1	299	299	185492
2	299	310	185950
1	310	310	186150
2	310	310	186608
3	310	313	187354
1	313	315	187554
1	315	315	187754
2	315	315	188212
3	315	313	188958
4	315	364	190012
1	364	368	190212
1	368	368	190412
2	368	368	190870
3	368	368	191616
4	368	368	192670
5	368	374	194048
1	374	377	194248
1	377	377	194448
2	377	377	194906
3	377	396	195652
1	396	396	195852
2	396	396	196310
3	396	396	197056
4	396	396	198110
5	396	399	199488
1	399	403	199688
1	403	403	199888
2	403	403	200346
3	403	404	201092
1	404	404	201292
2	404	404	201750
3	404	404	202496
4	404	403	203550
5	404	403	204928
6	404	387	206644
7	404	378	208710
8	404	372	211134
9	404	375	213926
10	404	338	217094
11	404	362	220646
12	404	347	224590
13	404	317	228932
1	317	341	229132
1	341	345	229332
1	345	347	229532
1	347	347	229732
2	347	341	230190
3	347	347	230936
4	347	360	231990
1	360	362	232190
1	362	362	232390
2	362	362	232848
3	362	363	233594
1	363	363	233794
2	363	363	234252
3	363	362	234998
4	363	360	236052
5	363	361	237430
6	363	353	239146
7	363	366	241212
1	366	369	241412
1	369	369	241612
2	369	369	242070
3	369	369	242816
4	369	370	243870
1	370	371	244070
1	371	371	244270
2	371	371	244728
3	371	371	245474
4	371	369	246528
5	371	367	247906
6	371	364	249622
7	371	387	251688
1	387	410	251888
1	410	410	252088
2	410	410	252546
3	410	411	253292
1	411	411	253492
2	411	411	253950
3	411	411	254696
4	411	411	255750
5	411	406	257128
6	411	373	258844
7	411	357	260910
8	411	376	263334
9	411	374	266126
10	411	384	269294
11	411	371	272846
12	411	335	276790
1	335	343	276990
1	343	343	277190
2	343	343	277648
3	343	351	278394
1	351	351	278594
2	351	351	279052
3	351	351	279798
4	351	355	280852
1	355	355	281052
2	355	355	281510
3	355	355	282256
4	355	367	283310
1	367	372	283510
1	372	372	283710
2	372	372	284168
3	372	372	284914
4	372	375	285968
1	375	375	286168
2	375	375	286626
3	375	375	287372
4	375	375	288426
5	375	375	289804
6	375	370	291520
7	375	356	293586
8	375	355	296010
9	375	363	298802
10	375	343	301970
11	375	294	305522
1	294	295	305722
1	295	295	305922
2	295	295	306380
3	295	301	307126
1	301	301	307326
2	301	301	307784
3	301	301	308530
4	301	314	309584
1	314	329	309784
1	329	329	309984
2	329	329	310442
3	329	347	311188
1	347	362	311388
1	362	363	311588
1	363	363	311788
2	363	363	312246
3	363	367	312992
1	367	375	313192
1	375	375	313392
2	375	375	313850
3	375	373	314596
4	375	375	315650
5	375	351	317028
6	375	346	318744
7	375	347	320810
8	375	342	323234
9	375	329	326026
10	375	346	329194
11	375	292	332746
1	292	305	332946
1	305	305	333146
2	305	305	333604
3	305	311	334350
1	311	311	334550
2	311	312	335008
1	312	312	335208
2	312	312	335666
3	312	312	336412
4	312	309	337466
5	312	336	338844
1	336	342	339044
1	342	342	339244
2	342	346	339702
1	346	346	339902
2	346	346	340360
3	346	351	341106
1	351	351	341306
2	351	351	341764
3	351	351	342510
4	351	346	343564
5	351	345	344942
6	351	345	346658
7	351	342	348724
8	351	345	351148
9	351	326	353940
10	351	315	357108
11	351	279	360660
12	351	286	364604
