Time	Games	Longest Sequence
62.694355964660645	50	285
79.01659607887268	100	309
89.78082013130188	150	314
100.8993010520935	200	314
127.3757529258728	314	315
137.7674810886383	364	315
159.6774640083313	478	315
204.25955605506897	664	315
350.81203413009644	926	324
365.16186714172363	976	324
396.0533399581909	1090	324
468.57400608062744	1276	325
482.50259709358215	1326	325
513.6304519176483	1440	325
584.9443089962006	1626	325
718.7343521118164	1888	326
731.2595729827881	1938	326
761.9037020206451	2052	326
819.2450339794159	2238	326
948.4369261264801	2500	326
1183.8113360404968	2844	329
1196.5005431175232	2894	331
1209.732339143753	2944	331
1234.9245059490204	3058	331
1308.727725982666	3244	335
1319.6908371448517	3294	335
1350.695780992508	3408	335
1421.1899211406708	3594	337
1432.3197739124298	3644	338
1444.4988930225372	3694	338
1471.6760051250458	3808	338
1539.0343971252441	3994	338
1628.8757140636444	4256	338
1798.6618089675903	4600	338
2098.0799300670624	5028	338
2436.5044519901276	5544	344
2448.0331721305847	5594	349
2457.3566410541534	5644	349
2485.3484489917755	5758	352
2496.6389651298523	5808	352
2535.166806936264	5922	426
2546.9780189990997	5972	429
2559.0895109176636	6022	429
2589.9940490722656	6136	429
2628.913535118103	6322	435
2640.9774100780487	6372	438
2652.3165199756622	6422	438
2680.6229939460754	6536	441
2691.216959953308	6586	442
2701.7311940193176	6636	442
2730.140962123871	6750	442
2783.7158241271973	6936	442
2835.8673939704895	7198	442
2877.29585814476	7542	442
2943.5136539936066	7970	365
2957.2667939662933	8020	419
2970.5902259349823	8070	420
2982.208456993103	8120	420
3010.629236936569	8234	423
3023.490556001663	8284	423
3056.267128944397	8398	423
3091.4149000644684	8584	423
3135.091958999634	8846	423
3189.9276180267334	9190	423
3338.4413261413574	9618	423
3558.01221203804	10134	434
3574.3991510868073	10184	434
3613.0804929733276	10298	434
3669.0143060684204	10484	440
3684.684086084366	10534	444
3701.567868947983	10584	444
3743.3465809822083	10698	447
3758.8055560588837	10748	447
3796.3743200302124	10862	447
3850.3298120498657	11048	447
3940.4325699806213	11310	447
4055.6978030204773	11654	447
4133.95442199707	12082	447
4285.280069112778	12598	447
4525.861109018326	13204	447
5000.617075920105	13902	447
6843.427875041962	14694	447
