RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	1	285	50
1	285	309	100
1	309	314	150
1	314	314	200
2	314	315	314
1	315	315	364
2	315	315	478
3	315	309	664
4	315	324	926
1	324	324	976
2	324	324	1090
3	324	325	1276
1	325	325	1326
2	325	325	1440
3	325	323	1626
4	325	326	1888
1	326	326	1938
2	326	326	2052
3	326	326	2238
4	326	325	2500
5	326	329	2844
1	329	331	2894
1	331	331	2944
2	331	331	3058
3	331	335	3244
1	335	335	3294
2	335	335	3408
3	335	337	3594
1	337	338	3644
1	338	337	3694
2	338	338	3808
3	338	338	3994
4	338	335	4256
5	338	324	4600
6	338	331	5028
7	338	344	5544
1	344	349	5594
1	349	349	5644
2	349	352	5758
1	352	352	5808
2	352	426	5922
1	426	429	5972
1	429	429	6022
2	429	429	6136
3	429	435	6322
1	435	438	6372
1	438	438	6422
2	438	441	6536
1	441	442	6586
1	442	441	6636
2	442	442	6750
3	442	438	6936
4	442	438	7198
5	442	419	7542
6	442	365	7970
1	365	419	8020
1	419	420	8070
1	420	420	8120
2	420	423	8234
1	423	423	8284
2	423	423	8398
3	423	420	8584
4	423	419	8846
5	423	365	9190
6	423	420	9618
7	423	434	10134
1	434	434	10184
2	434	434	10298
3	434	440	10484
1	440	444	10534
1	444	444	10584
2	444	447	10698
1	447	447	10748
2	447	446	10862
3	447	442	11048
4	447	445	11310
5	447	435	11654
6	447	432	12082
7	447	427	12598
8	447	403	13204
9	447	426	13902
10	447	409	14694
