Time	Games	Longest Sequence
119.3229079246521	140	262
134.8918581008911	280	268
146.52329802513123	420	268
188.53143310546875	616	285
201.40697288513184	756	285
231.78328490257263	952	285
286.54474997520447	1192	285
361.44408893585205	1472	286
375.44868993759155	1612	306
393.6119599342346	1752	306
414.2939269542694	1948	306
445.5651800632477	2188	308
458.49561190605164	2328	309
470.6900520324707	2468	309
492.7435700893402	2664	315
507.08178091049194	2804	315
537.4308240413666	3000	315
565.558336019516	3240	315
620.1850950717926	3520	315
696.5394349098206	3832	315
816.4088680744171	4172	315
955.4987070560455	4540	315
1117.3704919815063	4932	315
1308.6386139392853	5352	315
1454.6353058815002	5792	315
1621.7268540859222	6256	371
1634.984137058258	6396	377
1646.565661907196	6536	377
1676.4129800796509	6732	377
1715.1076390743256	6972	377
1789.0861659049988	7252	384
1804.053064107895	7392	387
1816.256586074829	7532	387
1839.14750790596	7728	387
1874.0449340343475	7968	387
1931.9577538967133	8248	387
2024.1044309139252	8560	387
2140.429816007614	8900	393
2154.7574849128723	9040	393
2181.175973892212	9236	393
2223.25204706192	9476	400
2239.359153985977	9616	400
2268.576346874237	9812	400
2301.6969380378723	10052	400
2354.1292130947113	10332	400
2416.593463897705	10644	400
2502.142417907715	10984	400
2608.386372089386	11352	400
2747.4094829559326	11744	411
2765.9610788822174	11884	414
2781.4369020462036	12024	414
2816.1927258968353	12220	417
2834.218400001526	12360	427
2856.3592948913574	12500	429
2872.409140110016	12640	429
2908.6966331005096	12836	429
2951.788522005081	13076	429
3013.3403449058533	13356	436
3028.1786398887634	13496	437
3042.2209050655365	13636	437
3067.0446639060974	13832	437
3112.2877340316772	14072	441
3128.120918035507	14212	441
3162.0126600265503	14408	441
3204.1052799224854	14648	441
3257.617817878723	14928	442
3271.9820029735565	15068	442
3307.9209220409393	15264	442
3347.7100279331207	15504	443
3364.7288320064545	15644	443
3392.8386549949646	15840	443
3434.6342220306396	16080	443
3491.9802389144897	16360	443
3547.0241639614105	16672	443
3608.293981075287	17012	446
3619.0061869621277	17152	446
3638.169907093048	17348	446
3668.57781791687	17588	446
3705.3738720417023	17868	446
3752.4265389442444	18180	446
3802.9514400959015	18520	446
3856.7633669376373	18888	451
3871.0279150009155	19028	452
3884.3922469615936	19168	452
3909.074151992798	19364	457
3920.8298230171204	19504	459
3931.37423992157	19644	459
