RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	1	262	140
1	262	268	280
1	268	268	420
2	268	285	616
1	285	285	756
2	285	285	952
3	285	285	1192
4	285	286	1472
1	286	306	1612
1	306	306	1752
2	306	306	1948
3	306	308	2188
1	308	309	2328
1	309	309	2468
2	309	315	2664
1	315	315	2804
2	315	315	3000
3	315	311	3240
4	315	313	3520
5	315	310	3832
6	315	285	4172
7	315	291	4540
8	315	300	4932
9	315	313	5352
10	315	308	5792
11	315	371	6256
1	371	377	6396
1	377	377	6536
2	377	377	6732
3	377	377	6972
4	377	384	7252
1	384	387	7392
1	387	387	7532
2	387	387	7728
3	387	387	7968
4	387	387	8248
5	387	387	8560
6	387	393	8900
1	393	393	9040
2	393	393	9236
3	393	400	9476
1	400	400	9616
2	400	400	9812
3	400	400	10052
4	400	399	10332
5	400	393	10644
6	400	391	10984
7	400	392	11352
8	400	411	11744
1	411	414	11884
1	414	414	12024
2	414	417	12220
1	417	427	12360
1	427	429	12500
1	429	429	12640
2	429	425	12836
3	429	417	13076
4	429	436	13356
1	436	437	13496
1	437	437	13636
2	437	437	13832
3	437	441	14072
1	441	441	14212
2	441	441	14408
3	441	441	14648
4	441	442	14928
1	442	442	15068
2	442	442	15264
3	442	443	15504
1	443	443	15644
2	443	443	15840
3	443	442	16080
4	443	442	16360
5	443	439	16672
6	443	446	17012
1	446	446	17152
2	446	446	17348
3	446	446	17588
4	446	446	17868
5	446	438	18180
6	446	444	18520
7	446	451	18888
1	451	452	19028
1	452	452	19168
2	452	457	19364
1	457	459	19504
1	459	459	19644
